구분,기관사칭형_발생건수,기관사칭형_피해액_억원,기관사칭형_검거인원,대출사기형_발생건수,대출사기형_피해액_억원,대출사기형_검거인원,총_발생건수,총_피해액_억원,20대이하,30대,40대,50대,60대,70대이상
2016,3384,541,5682,13656,927,9884,17040,1468,3209,3735,4542,3834,1261,459
2017,5685,967,4925,18574,1503,20548,24259,2470,5273,4887,6473,5412,1807,407
2018,6221,1430,5491,27911,2610,32133,34132,4040,4480,6483,9842,9313,3389,625
2019,7219,2506,6045,30448,3892,42668,37667,6398,3855,6041,10264,11825,4617,1065
2020,7844,2144,4797,23837,4856,34527,31681,7000,5323,4406,7704,9217,4188,843
2021,7017,1741,1895,23965,6003,24502,30982,7744,5459,3299,6755,9564,4778,1127
2022,8930,2077,4500,12902,3361,20530,21832,5438,6805,1821,3413,5378,3462,953
2023,11314,2364,8039,7588,2108,14347,18902,4472,8886,1621,2325,3149,2144,777
2024,9519,5349,7449,11320,3196,14384,20839,8545,5352,2156,3200,4828,4256,1047
2025,13323,9884,15161,10037,2694,17209,23360,12578,5770,2510,2992,4794,5801,1493
